limiar,n,falhas,average_precision,roc_auc,precisao,recall,f2,acuracia,tn,fp,fn,tp,alertas,custo_relativo
0.52,2000,68,0.5479966235,0.9646510778,0.5797101449,0.5882352941,0.5865102639,0.9715,1903,29,28,40,69,309
0.53,2000,68,0.5479966235,0.9646510778,0.5820895522,0.5735294118,0.5752212389,0.9715,1904,28,29,39,67,318
0.54,2000,68,0.5479966235,0.9646510778,0.578125,0.5441176471,0.5505952381,0.971,1905,27,31,37,64,337
0.55,2000,68,0.5479966235,0.9646510778,0.5714285714,0.5294117647,0.5373134328,0.9705,1905,27,32,36,63,347
0.56,2000,68,0.5479966235,0.9646510778,0.5737704918,0.5147058824,0.5255255255,0.9705,1906,26,33,35,61,356
0.57,2000,68,0.5479966235,0.9646510778,0.5964912281,0.5,0.5167173252,0.9715,1909,23,34,34,57,363
0.58,2000,68,0.5479966235,0.9646510778,0.6111111111,0.4852941176,0.5061349693,0.972,1911,21,35,33,54,371
0.59,2000,68,0.5479966235,0.9646510778,0.6037735849,0.4705882353,0.4923076923,0.9715,1911,21,36,32,53,381
0.6,2000,68,0.5479966235,0.9646510778,0.6078431373,0.4558823529,0.479876161,0.9715,1912,20,37,31,51,390
0.61,2000,68,0.5479966235,0.9646510778,0.6,0.4411764706,0.4658385093,0.971,1912,20,38,30,50,400
0.62,2000,68,0.5479966235,0.9646510778,0.625,0.4411764706,0.46875,0.972,1914,18,38,30,48,398
0.63,2000,68,0.5479966235,0.9646510778,0.6046511628,0.3823529412,0.4126984127,0.9705,1915,17,42,26,43,437
0.64,2000,68,0.5479966235,0.9646510778,0.625,0.3676470588,0.4006410256,0.971,1917,15,43,25,40,445
0.65,2000,68,0.5479966235,0.9646510778,0.6052631579,0.3382352941,0.3709677419,0.97,1917,15,45,23,38,465
0.66,2000,68,0.5479966235,0.9646510778,0.6052631579,0.3382352941,0.3709677419,0.97,1917,15,45,23,38,465
0.67,2000,68,0.5479966235,0.9646510778,0.6052631579,0.3382352941,0.3709677419,0.97,1917,15,45,23,38,465
0.68,2000,68,0.5479966235,0.9646510778,0.6111111111,0.3235294118,0.3571428571,0.97,1918,14,46,22,36,474
0.69,2000,68,0.5479966235,0.9646510778,0.625,0.2941176471,0.3289473684,0.97,1920,12,48,20,32,492
0.7,2000,68,0.5479966235,0.9646510778,0.6451612903,0.2941176471,0.3300330033,0.9705,1921,11,48,20,31,491
0.71,2000,68,0.5479966235,0.9646510778,0.6428571429,0.2647058824,0.3,0.97,1922,10,50,18,28,510
0.72,2000,68,0.5479966235,0.9646510778,0.625,0.2205882353,0.2533783784,0.969,1923,9,53,15,24,539
0.73,2000,68,0.5479966235,0.9646510778,0.6363636364,0.2058823529,0.2380952381,0.969,1924,8,54,14,22,548
0.74,2000,68,0.5479966235,0.9646510778,0.6363636364,0.2058823529,0.2380952381,0.969,1924,8,54,14,22,548
0.75,2000,68,0.5479966235,0.9646510778,0.5789473684,0.1617647059,0.1890034364,0.9675,1924,8,57,11,19,578
0.76,2000,68,0.5479966235,0.9646510778,0.6470588235,0.1617647059,0.1903114187,0.9685,1926,6,57,11,17,576
0.77,2000,68,0.5479966235,0.9646510778,0.6875,0.1617647059,0.1909722222,0.969,1927,5,57,11,16,575
0.78,2000,68,0.5479966235,0.9646510778,0.7142857143,0.1470588235,0.1748251748,0.969,1928,4,58,10,14,584
0.79,2000,68,0.5479966235,0.9646510778,0.7142857143,0.1470588235,0.1748251748,0.969,1928,4,58,10,14,584
0.8,2000,68,0.5479966235,0.9646510778,0.7142857143,0.1470588235,0.1748251748,0.969,1928,4,58,10,14,584
0.81,2000,68,0.5479966235,0.9646510778,0.7142857143,0.1470588235,0.1748251748,0.969,1928,4,58,10,14,584
0.82,2000,68,0.5479966235,0.9646510778,0.6923076923,0.1323529412,0.1578947368,0.9685,1928,4,59,9,13,594
0.83,2000,68,0.5479966235,0.9646510778,0.75,0.1323529412,0.1584507042,0.969,1929,3,59,9,12,593
0.84,2000,68,0.5479966235,0.9646510778,0.7,0.1029411765,0.1241134752,0.968,1929,3,61,7,10,613
0.85,2000,68,0.5479966235,0.9646510778,0.625,0.07352941176,0.08928571429,0.967,1929,3,63,5,8,633
0.86,2000,68,0.5479966235,0.9646510778,0.7142857143,0.07352941176,0.08960573477,0.9675,1930,2,63,5,7,632
